[Info  - 10:35:02 am] Angular language server process ID: 6045
[Info  - 10:35:02 am] Using typescript/lib/tsserverlibrary v4.6.4 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 10:35:02 am] Using @angular/language-service v13.3.8 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/@angular/language-service/index.js
[Info  - 10:35:02 am] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 10:35:04 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:35:04 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:35:04 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:35:04 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:35:05 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:35:46 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:25 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:26 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:26 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:29 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:30 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:31 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:34 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:35 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:39 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:39 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:42 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:42 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:43 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:43 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:43 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:43 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:43 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:36:44 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:39:50 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:39:50 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:39:50 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:39:50 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:39:50 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:39:52 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:39:52 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:42:27 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:43:02 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:44:59 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:45:44 am] No config file for /var/www/html/officework/Cue-1/index.html
[Error - 10:46:04 am] No config file for /var/www/html/officework/Cue-1/index.html
